state	fips	name	total	obama	romney	other	obama_p	romney_p	other_p
CA	06037	Los Angeles	2427869	1672164	699600	56105	68.874	28.815	2.311
IL	17031	Cook	1944401	1439123	479204	26074	74.014	24.645	1.341
AZ	04013	Maricopa	1187008	512008	654835	20165	43.134	55.167	1.699
TX	48201	Harris	1185478	585451	584866	15161	49.385	49.336	1.279
CA	06059	Orange	1021315	457077	541592	22646	44.754	53.029	2.217
CA	06073	San Diego	928256	478386	431046	18824	51.536	46.436	2.028
FL	12086	Miami-Dade	877245	540776	332602	3867	61.645	37.914	0.441
WA	53033	King	871654	599796	252090	19768	68.811	28.921	2.268
MI	26163	Wayne	814108	595253	213586	5269	73.117	26.236	0.647
FL	12011	Broward	755166	507430	243732	4004	67.194	32.275	0.530
TX	48113	Dallas	705941	403170	294339	8432	57.111	41.695	1.194
NV	32003	Clark	688339	387978	288223	12138	56.364	41.872	1.763
MN	27053	Hennepin	677965	423979	240073	13913	62.537	35.411	2.052
PA	42101	Philadelphia	653598	557024	91840	4734	85.224	14.051	0.724
MI	26125	Oakland	650306	349055	296531	4720	53.676	45.599	0.726
NY	36047	Brooklyn	618035	503291	108630	6114	81.434	17.577	0.989
PA	42003	Allegheny	614671	348151	259304	7216	56.640	42.186	1.174
OH	39035	Cuyahoga	611512	420953	184475	6084	68.838	30.167	0.995
TX	48439	Tarrant	610149	252789	348686	8674	41.431	57.148	1.422
FL	12099	Palm Beach	600341	349418	247257	3666	58.203	41.186	0.611
CA	06065	Riverside	589721	287754	290227	11740	48.795	49.214	1.991
CA	06001	Alameda	558386	438091	104330	15965	78.457	18.684	2.859
OH	39049	Franklin	541751	325654	207941	8156	60.111	38.383	1.505
FL	12057	Hillsborough	541503	286158	249904	5441	52.845	46.150	1.005
NY	36103	Suffolk	540653	274830	259348	6475	50.833	47.969	1.198
CA	06071	San Bernardino	531692	274203	245468	12021	51.572	46.167	2.261
NC	37183	Wake	526805	286939	232933	6933	54.468	44.216	1.316
MO	29189	St. Louis County	524628	294735	223102	6791	56.180	42.526	1.294
TX	48029	Bexar	511405	263871	240519	7015	51.597	47.031	1.372
NY	36081	Queens	507722	399970	103193	4559	78.777	20.325	0.898
NY	36061	Manhattan	496293	417861	72300	6132	84.196	14.568	1.236
CA	06085	Santa Clara	491687	343239	136347	12101	69.808	27.730	2.461
WI	55079	Milwaukee	490944	328090	158430	4424	66.828	32.270	0.901
FL	12095	Orange	467385	274227	189057	4101	58.673	40.450	0.877
NY	36059	Nassau	460824	243649	212882	4293	52.872	46.196	0.932
FL	12103	Pinellas	457484	238966	213192	5326	52.235	46.601	1.164
NC	37119	Mecklenburg	445062	270705	170490	3867	60.824	38.307	0.869
VA	51059	Fairfax	440174	260835	173786	5553	59.257	39.481	1.262
FL	12031	Duval	411702	196657	211553	3492	47.767	51.385	0.848
MD	24031	Montgomery	404214	286493	110940	6781	70.877	27.446	1.678
MI	26099	Macomb	403388	207992	191896	3500	51.561	47.571	0.868
OH	39061	Hamilton	402572	208508	188653	5411	51.794	46.862	1.344
PA	42091	Montgomery	401787	227561	169903	4323	56.637	42.287	1.076
IL	17043	DuPage	397173	197411	193333	6429	49.704	48.677	1.619
CA	06067	Sacramento	388090	221063	157688	9339	56.962	40.632	2.406
GA	13121	Fulton	386845	248479	133837	4529	64.232	34.597	1.171
NY	36029	Erie	386665	220184	159678	6803	56.944	41.296	1.759
TX	48453	Travis	384890	231540	139503	13847	60.157	36.245	3.598
TN	47157	Shelby	370749	232201	135536	3012	62.630	36.557	0.812
IN	18097	Marion	357745	215474	136131	6140	60.231	38.053	1.716
MD	24005	Baltimore	354655	202733	144686	7236	57.163	40.796	2.040
MD	24033	Prince George's	352292	317342	32236	2714	90.079	9.150	0.770
NJ	34003	Bergen	352023	193470	155267	3286	54.959	44.107	0.933
AZ	04019	Pima	351817	183470	162927	5420	52.149	46.310	1.541
CA	06013	Contra Costa	351257	230826	112547	7884	65.714	32.041	2.245
OR	41051	Multnomah	344614	261222	71947	11445	75.801	20.878	3.321
UT	49035	Salt Lake	341664	132686	198739	10239	38.835	58.168	2.997
KY	21111	Jefferson	339500	186164	148415	4921	54.835	43.716	1.449
WA	53053	Pierce	332134	180478	144026	7630	54.339	43.364	2.297
CA	06075	San Francisco	321023	267857	42654	10512	83.439	13.287	3.275
PA	42017	Bucks	319407	159598	155876	3933	49.967	48.802	1.231
NY	36005	Bronx	316047	288378	26304	1365	91.245	8.323	0.432
GA	13067	Cobb	308989	132526	171464	4999	42.890	55.492	1.618
NY	36055	Monroe	308925	178491	124769	5665	57.778	40.388	1.834
MO	29095	Jackson	306854	180100	121891	4863	58.692	39.723	1.585
GA	13089	DeKalb	305299	237704	64308	3287	77.859	21.064	1.077
AL	01073	Jefferson	303424	159658	141413	2353	52.619	46.606	0.775
WI	55025	Dane	302845	215389	83459	3997	71.122	27.558	1.320
TX	48085	Collin	301101	100754	195933	4414	33.462	65.072	1.466
CO	08059	Jefferson	300151	153069	139960	7122	50.997	46.630	2.373
WA	53061	Snohomish	298759	169927	121642	7190	56.878	40.716	2.407
GA	13135	Gwinnett	295560	131879	159563	4118	44.620	53.987	1.393
MI	26081	Kent	295418	134560	157801	3057	45.549	53.416	1.035
HI	15003	Honolulu	292925	201803	87255	3867	68.892	29.787	1.320
CO	08031	Denver	285564	209759	69755	6050	73.454	24.427	2.119
FL	12009	Brevard	285504	122972	159270	3262	43.072	55.786	1.143
NJ	34023	Middlesex	285232	179515	102472	3245	62.936	35.926	1.138
NY	36119	Westchester	284731	171908	108707	4116	60.376	38.179	1.446
IL	17097	Lake	284032	151552	128609	3871	53.357	45.280	1.363
NJ	34013	Essex	281633	217950	61595	2088	77.388	21.871	0.741
MN	27123	Ramsey	277782	184936	86799	6047	66.576	31.247	2.177
CO	08039	El Paso	275604	104989	163819	6796	38.094	59.440	2.466
PA	42045	Delaware	272853	164805	105270	2778	60.401	38.581	1.018
NJ	34025	Monmouth	268943	125471	140376	3096	46.653	52.195	1.151
KS	20091	Johnson	268145	107651	155442	5052	40.147	57.969	1.884
CA	06111	Ventura	267907	138119	123919	5869	51.555	46.254	2.191
FL	12071	Lee	266034	110080	154112	1842	41.378	57.929	0.692
NM	35001	Bernalillo	264942	147183	104242	13517	55.553	39.345	5.102
OH	39153	Summit	259389	147146	108700	3543	56.728	41.906	1.366
OK	40109	Oklahoma	256337	106812	149525	0	41.669	58.331	0.000
CO	08005	Arapahoe	254746	135433	114232	5081	53.164	44.842	1.995
OH	39113	Montgomery	254266	128983	121188	4095	50.728	47.662	1.611
DE	10003	New Castle	251960	167051	81226	3683	66.301	32.238	1.462
NC	37081	Guilford	251529	145483	103964	2082	57.839	41.333	0.828
IL	17197	Will	249708	127522	118366	3820	51.068	47.402	1.530
FL	12105	Polk	248658	114610	131566	2482	46.091	52.910	0.998
MA	25025	Boston	248482	196096	48227	4159	78.918	19.409	1.674
PA	42029	Chester	248295	122232	123280	2783	49.229	49.651	1.121
DC	11001	District of Columbia	243348	222332	17337	3679	91.364	7.124	1.512
WI	55133	Waukesha	241084	77617	161567	1900	32.195	67.017	0.788
TX	48121	Denton	240125	79917	156105	4103	33.281	65.010	1.709
MD	24003	Anne Arundel	239189	115960	118165	5064	48.480	49.402	2.117
NJ	34029	Ocean	237432	96500	138594	2338	40.643	58.372	0.985
TN	47037	Davidson	237372	138899	94464	4009	58.515	39.796	1.689
FL	12127	Volusia	234483	114716	117473	2294	48.923	50.099	0.978
MN	27037	Dakota	230023	116252	109514	4257	50.539	47.610	1.851
MD	24510	Baltimore City	229897	201042	25501	3354	87.449	11.092	1.459
IA	19153	Polk	227563	128264	96029	3270	56.364	42.199	1.437
OK	40143	Tulsa	227541	82633	144908	0	36.316	63.684	0.000
AK	02000	Alaska	220596	91696	121234	7666	41.567	54.957	3.475
PA	42071	Lancaster	219677	87108	129364	3205	39.653	58.888	1.459
TX	48157	Fort Bend	219250	101043	116028	2179	46.086	52.920	0.994
OR	41067	Washington	216473	124431	86551	5491	57.481	39.982	2.537
FL	12101	Pasco	213358	98148	112335	2875	46.002	52.651	1.348
CA	06081	San Mateo	211814	151036	56244	4534	71.306	26.553	2.141
NE	31055	Douglas	210501	99261	108319	2921	47.155	51.458	1.388
FL	12117	Seminole	208605	96435	109939	2231	46.229	52.702	1.069
FL	12115	Sarasota	207434	95089	110489	1856	45.841	53.265	0.895
NJ	34027	Morris	206580	90313	114265	2002	43.718	55.313	0.969
NJ	34007	Camden	203201	137795	63329	2077	67.812	31.166	1.022
MI	26049	Genesee	202699	128972	71807	1920	63.627	35.425	0.947
NJ	34039	Union	202353	134220	66457	1676	66.330	32.842	0.828
WA	53063	Spokane	202088	91977	104797	5314	45.513	51.857	2.630
IN	18089	Lake	201648	130824	68397	2427	64.877	33.919	1.204
OH	39095	Lucas	200850	129229	68100	3521	64.341	33.906	1.753
LA	22033	East Baton Rouge	197912	102460	92235	3217	51.770	46.604	1.625
NJ	34005	Burlington	197059	115951	79110	1998	58.841	40.145	1.014
VA	51810	Virginia Beach	195823	94163	99107	2553	48.086	50.611	1.304
SC	45045	Greenville	191282	67378	120514	3390	35.224	63.003	1.772
NY	36067	Onondaga	188787	112664	72807	3316	59.678	38.566	1.756
NV	32031	Washoe	186917	94806	88151	3960	50.721	47.161	2.119
PA	42133	York	186394	72126	111576	2692	38.695	59.860	1.444
MN	27003	Anoka	185714	88611	93430	3673	47.714	50.309	1.978
MO	29183	St. Charles	185597	71798	110732	3067	38.685	59.663	1.653
OR	41005	Clackamas	185564	94013	87551	4000	50.663	47.181	2.156
IL	17089	Kane	183631	91120	89502	3009	49.621	48.740	1.639
WA	53011	Clark	181567	88822	88629	4116	48.920	48.813	2.267
ID	16001	Ada	180361	77043	97471	5847	42.716	54.042	3.242
CA	06019	Fresno	180244	85862	91143	3239	47.637	50.566	1.797
VA	51153	Prince William	179648	103161	74371	2116	57.424	41.398	1.178
MI	26161	Washtenaw	179016	120791	56401	1824	67.475	31.506	1.019
KS	20173	Sedgwick	177852	69373	104411	4068	39.006	58.707	2.287
OH	39151	Stark	176620	86314	86958	3348	48.870	49.235	1.896
NJ	34017	Hudson	176104	136239	38082	1783	77.363	21.625	1.012
CA	06097	Sonoma	175738	124504	45666	5568	70.846	25.985	3.168
LA	22051	Jefferson	175733	70000	102325	3408	39.833	58.228	1.939
AL	01097	Mobile	174189	78417	94566	1206	45.018	54.289	0.692
CO	08013	Boulder	173207	120485	48526	4196	69.561	28.016	2.423
TX	48339	Montgomery	172820	32852	137822	2146	19.009	79.749	1.242
NC	37067	Forsyth	172332	91606	79177	1549	53.157	45.944	0.899
VA	51041	Chesterfield	172223	78954	91174	2095	45.844	52.940	1.216
TX	48141	El Paso	171053	112273	56517	2263	65.636	33.041	1.323
PA	42129	Westmoreland	168709	63380	103429	1900	37.568	61.306	1.126
CA	06029	Kern	168116	64690	99840	3586	38.479	59.388	2.133
TN	47093	Knox	167330	57594	106411	3325	34.419	63.593	1.987
OR	41039	Lane	166176	99891	60979	5306	60.112	36.695	3.193
NJ	34031	Passaic	164629	104057	59181	1391	63.207	35.948	0.845
OH	39017	Butler	164020	59282	102226	2512	36.143	62.325	1.532
PA	42011	Berks	163253	79895	80857	2501	48.939	49.529	1.532
TX	48491	Williamson	162936	61812	96910	4214	37.936	59.477	2.586
CO	08069	Larimer	161823	83103	74603	4117	51.354	46.102	2.544
CO	08001	Adams	161495	90843	66531	4121	56.251	41.197	2.552
FL	12083	Marion	161368	66823	93036	1509	41.410	57.655	0.935
UT	49049	Utah	161278	15791	142337	3150	9.791	88.256	1.953
VA	51087	Henrico	161195	89116	70235	1844	55.285	43.571	1.144
SC	45019	Charleston	160854	81027	77248	2579	50.373	48.024	1.603
AR	05119	Pulaski	159055	87055	68856	3144	54.733	43.291	1.977
VA	51107	Loudoun	158648	81900	74794	1954	51.624	47.145	1.232
LA	22071	Orleans	157233	126199	27967	3067	80.262	17.787	1.951
AL	01089	Madison	154632	61802	90679	2151	39.967	58.642	1.391
FL	12081	Manatee	153451	66476	85616	1359	43.321	55.794	0.886
FL	12069	Lake	150796	61790	87637	1369	40.976	58.116	0.908
CO	08035	Douglas	150160	54093	93930	2137	36.024	62.553	1.423
CA	06077	San Joaquin	149587	80005	66742	2840	53.484	44.618	1.899
FL	12021	Collier	149080	51678	96508	894	34.665	64.736	0.600
FL	12033	Escambia	148430	58154	88671	1605	39.179	59.739	1.081
FL	12073	Leon	148335	90863	55806	1666	61.255	37.622	1.123
CA	06083	Santa Barbara	147249	84279	59096	3874	57.236	40.133	2.631
IN	18003	Allen	146405	59834	84378	2193	40.869	57.633	1.498
PA	42077	Lehigh	144922	77029	66091	1802	53.152	45.605	1.243
NC	37063	Durham	143828	109185	33326	1317	75.914	23.171	0.916
CA	06099	Stanislaus	143620	70609	69549	3462	49.164	48.426	2.411
SC	45079	Richland	143016	94350	46725	1941	65.972	32.671	1.357
TN	47065	Hamilton	142320	58794	79877	3649	41.311	56.125	2.564
MN	27163	Washington	141711	70203	69137	2371	49.540	48.787	1.673
MD	24027	Howard	141167	84017	54094	3056	59.516	38.319	2.165
MO	29510	St. Louis City	141135	116654	22617	1864	82.654	16.025	1.321
NJ	34021	Mercer	139064	94300	43155	1609	67.811	31.032	1.157
TX	48215	Hidalgo	138966	97879	39786	1301	70.434	28.630	0.936
CA	06095	Solano	138565	87225	48364	2976	62.949	34.903	2.148
OH	39093	Lorain	138513	78112	58095	2306	56.393	41.942	1.665
IN	18057	Hamilton	136803	43794	90740	2269	32.012	66.329	1.659
NY	36085	Staten Island	135283	67524	66420	1339	49.913	49.097	0.990
NJ	34035	Somerset	134932	70168	63159	1605	52.002	46.808	1.189
IL	17111	McHenry	133589	59691	71488	2410	44.683	53.513	1.804
NJ	34015	Gloucester	133568	72960	58915	1693	54.624	44.109	1.268
MI	26139	Ottawa	132695	43068	88503	1124	32.456	66.697	0.847
NY	36071	Orange	130494	67709	60984	1801	51.887	46.733	1.380
WI	55009	Brown	128514	62433	64738	1343	48.581	50.374	1.045
MI	26065	Ingham	127579	80903	45365	1311	63.414	35.558	1.028
CA	06061	Placer	126325	49126	74460	2739	38.889	58.943	2.168
NC	37021	Buncombe	126201	70066	54429	1706	55.519	43.129	1.352
NC	37051	Cumberland	126092	74991	50191	910	59.473	39.805	0.722
PA	42095	Northampton	125883	65014	59242	1627	51.646	47.061	1.292
KY	21067	Fayette	125821	62078	60793	2950	49.338	48.317	2.345
MO	29077	Greene	125639	46130	76786	2723	36.716	61.116	2.167
NY	36001	Albany	125531	80891	42029	2611	64.439	33.481	2.080
PA	42079	Luzerne	123741	63974	57969	1798	51.700	46.847	1.453
NE	31109	Lancaster	123206	59970	61177	2059	48.675	49.654	1.671
FL	12111	St. Lucie	123026	65869	56202	955	53.541	45.683	0.776
MI	26077	Kalamazoo	122880	69045	52660	1175	56.189	42.855	0.956
PA	42043	Dauphin	122625	64209	56838	1578	52.362	46.351	1.287
IL	17119	Madison	122203	58813	60481	2909	48.127	49.492	2.380
FL	12001	Alachua	120318	69634	48765	1919	57.875	40.530	1.595
MD	24025	Harford	118417	46390	69496	2531	39.175	58.688	2.137
IL	17163	St. Clair	118379	66749	49610	2020	56.386	41.908	1.706
CA	06079	San Luis Obispo	117597	57655	56500	3442	49.028	48.045	2.927
OH	39099	Mahoning	117571	74298	41702	1571	63.194	35.470	1.336
VA	51013	Arlington	117279	81178	34433	1668	69.218	29.360	1.422
IA	19113	Linn	117122	68028	47427	1667	58.083	40.494	1.423
MN	27137	St. Louis	116460	74177	39675	2608	63.693	34.067	2.239
IL	17201	Winnebago	116101	60334	53722	2045	51.967	46.272	1.761
OR	41047	Marion	115519	54337	58435	2747	47.037	50.585	2.378
FL	12109	St. Johns	114733	35155	78490	1088	30.641	68.411	0.948
NY	36087	Rockland	114500	60446	52936	1118	52.791	46.232	0.976
OH	39085	Lake	114264	55219	57150	1895	48.326	50.016	1.658
NY	36027	Dutchess	114142	59885	52320	1937	52.465	45.838	1.697
LA	22103	St. Tammany	112884	25723	84710	2451	22.787	75.042	2.171
PA	42049	Erie	112732	65136	46102	1494	57.780	40.895	1.325
CO	08123	Weld	112695	47418	62350	2927	42.076	55.326	2.597
UT	49011	Davis	112568	20417	90030	2121	18.137	79.978	1.884
SC	45063	Lexington	112204	34007	76392	1805	30.308	68.083	1.609
WA	53067	Thurston	111652	64879	43703	3070	58.108	39.142	2.750
LA	22017	Caddo	111516	57879	52378	1259	51.902	46.969	1.129
IN	18141	St. Joseph	110644	56458	52575	1611	51.027	47.517	1.456
VA	51550	Chesapeake	110105	54999	53845	1261	49.951	48.903	1.145
PA	42041	Cumberland	109964	43983	64365	1616	39.998	58.533	1.470
WA	53035	Kitsap	109919	59701	47468	2750	54.314	43.185	2.502
TX	48167	Galveston	109227	39162	68594	1471	35.854	62.799	1.347
MD	24021	Frederick	109127	51187	55495	2445	46.906	50.854	2.241
FL	12097	Osceola	108647	67201	40581	865	61.853	37.351	0.796
SC	45083	Spartanburg	108327	40920	65951	1456	37.775	60.881	1.344
GA	13051	Chatham	108267	60077	47083	1107	55.490	43.488	1.022
OH	39165	Warren	108008	31907	74626	1475	29.541	69.093	1.366
TX	48039	Brazoria	106422	34327	70684	1411	32.256	66.419	1.326
MO	29047	Clay	105465	47250	56131	2084	44.802	53.222	1.976
SC	45051	Horry	104584	36620	66653	1311	35.015	63.732	1.254
WI	55101	Racine	102937	52887	49173	877	51.378	47.770	0.852
NJ	34001	Atlantic	102405	59509	41918	978	58.111	40.934	0.955
AZ	04021	Pinal	102139	41428	58947	1764	40.560	57.713	1.727
NC	37129	New Hanover	102067	48038	52792	1237	47.065	51.723	1.212
AL	01101	Montgomery	101781	62993	38283	505	61.891	37.613	0.496
SC	45091	York	99428	38757	59149	1522	38.980	59.489	1.531
CA	06041	Marin	99286	73450	23347	2489	73.978	23.515	2.507
TN	47149	Rutherford	98816	36400	60829	1587	36.836	61.558	1.606
OH	39155	Trumbull	98703	59446	37545	1712	60.227	38.038	1.734
LA	22055	Lafayette	98637	31766	64989	1882	32.205	65.887	1.908
GA	13057	Cherokee	98041	19813	76473	1755	20.209	78.001	1.790
MI	26093	Livingston	97959	37186	60000	773	37.961	61.250	0.789
MI	26145	Saginaw	97903	54372	42716	815	55.537	43.631	0.832
MS	28049	Hinds	97639	70512	26450	677	72.217	27.090	0.693
MO	29099	Jefferson	97613	41570	53973	2070	42.587	55.293	2.121
NY	36091	Saratoga	97502	48876	46829	1797	50.128	48.029	1.843
PA	42069	Lackawanna	97116	61309	34730	1077	63.130	35.761	1.109
AZ	04025	Yavapai	96790	32624	62385	1781	33.706	64.454	1.840
FL	12019	Clay	96549	25745	69996	808	26.665	72.498	0.837
OH	39041	Delaware	96330	36131	58980	1219	37.508	61.227	1.265
GA	13063	Clayton	96020	81439	14158	423	84.815	14.745	0.441
TX	48355	Nueces	95781	45666	48779	1336	47.678	50.928	1.395
FL	12091	Okaloosa	94739	23390	70143	1206	24.689	74.038	1.273
WI	55087	Outagamie	94237	45565	47294	1378	48.351	50.186	1.462
IL	17167	Sangamon	94032	41961	50131	1940	44.624	53.313	2.063
OK	40027	Cleveland	93720	34701	59019	0	37.026	62.974	0.000
TN	47187	Williamson	93606	24328	68090	1188	25.990	72.741	1.269
OH	39025	Clermont	93392	29334	62527	1531	31.410	66.951	1.639
NC	37179	Union	93389	32032	60468	889	34.300	64.749	0.952
DE	10005	Sussex	93215	39971	52116	1128	42.880	55.909	1.210
AL	01117	Shelby	92204	19944	71243	1017	21.630	77.267	1.103
VA	51760	Richmond City	92175	71037	19732	1406	77.068	21.407	1.525
OR	41029	Jackson	91955	42341	46974	2640	46.045	51.084	2.871
WA	53073	Whatcom	91158	49743	38764	2651	54.568	42.524	2.908
TX	48303	Lubbock	90615	26088	63133	1394	28.790	69.672	1.538
GA	13151	Henry	90469	43374	46299	796	47.943	51.177	0.880
PA	42125	Washington	90078	38503	50455	1120	42.744	56.013	1.243
IA	19163	Scott	89826	50581	38223	1022	56.310	42.552	1.138
NC	37071	Gaston	89638	32903	55817	918	36.707	62.269	1.024
PA	42019	Butler	88924	28385	59416	1123	31.921	66.817	1.263
OH	39103	Medina	88849	37841	49464	1544	42.590	55.672	1.738
WI	55139	Winnebago	88814	45410	42073	1331	51.129	47.372	1.499
TX	48245	Jefferson	88548	44626	43214	708	50.398	48.803	0.800
CA	06017	El Dorado	85923	34033	49661	2229	39.609	57.797	2.594
TX	48027	Bell	85765	35315	49369	1081	41.176	57.563	1.260
AL	01003	Baldwin	84988	18329	65772	887	21.567	77.390	1.044
TX	48423	Smith	84794	22101	61858	835	26.064	72.951	0.985
FL	12015	Charlotte	84664	35896	47988	780	42.398	56.681	0.921
FL	12053	Hernando	83593	37791	44906	896	45.208	53.720	1.072
NY	36063	Niagara	82720	40862	40397	1461	49.398	48.836	1.766
NC	37025	Cabarrus	82445	32453	49125	867	39.363	59.585	1.052
MD	24013	Carroll	82171	26067	53960	2144	31.723	65.668	2.609
LA	22019	Calcasieu	81718	28357	51844	1517	34.701	63.443	1.856
GA	13117	Forsyth	81598	14544	65853	1201	17.824	80.704	1.472
CA	06087	Santa Cruz	81294	61106	17132	3056	75.167	21.074	3.759
OH	39057	Greene	81075	31028	48683	1364	38.271	60.047	1.682
WI	55059	Kenosha	80661	44838	34942	881	55.588	43.320	1.092
WI	55105	Rock	80462	49158	30492	812	61.095	37.896	1.009
NY	36065	Oneida	80429	37388	41639	1402	46.486	51.771	1.743
PA	42007	Beaver	80015	36833	42118	1064	46.033	52.638	1.330
FL	12005	Bay	79834	22037	56863	934	27.604	71.227	1.170
MO	29019	Boone	79296	39782	37343	2171	50.169	47.093	2.738
VA	51700	Newport News	79169	50990	27224	955	64.407	34.387	1.206
WA	53005	Benton	78874	27846	49105	1923	35.304	62.258	2.438
GA	13245	Richmond	78865	52461	25821	583	66.520	32.741	0.739
FL	12085	Martin	78860	30097	48180	583	38.165	61.096	0.739
WI	55131	Washington	78558	23136	54709	713	29.451	69.642	0.908
CA	06053	Monterey	78522	51712	25087	1723	65.857	31.949	2.194
AL	01125	Tuscaloosa	78495	32003	45703	789	40.771	58.224	1.005
MN	27145	Stearns	78178	33552	43015	1611	42.917	55.022	2.061
IL	17143	Peoria	78060	40050	36617	1393	51.307	46.909	1.785
MN	27109	Olmsted	77951	39338	36832	1781	50.465	47.250	2.285
VA	51710	Norfolk	77925	55654	21366	905	71.420	27.419	1.161
IL	17019	Champaign	77620	40378	35086	2156	52.020	45.202	2.778
AR	05007	Benton	77525	22144	53477	1904	28.564	68.980	2.456
OR	41017	Deschutes	77441	34985	40670	1786	45.176	52.517	2.306
OH	39089	Licking	77423	32264	43604	1555	41.672	56.319	2.008
FL	12113	Santa Rosa	76816	17757	58169	890	23.116	75.725	1.159
NC	37147	Pitt	76814	40701	35534	579	52.986	46.260	0.754
SD	46099	Minnehaha	76565	34668	40330	1567	45.279	52.674	2.047
MI	26121	Muskegon	76054	44436	30882	736	58.427	40.605	0.968
NC	37101	Johnston	76021	27052	48206	763	35.585	63.411	1.004
NC	37135	Orange	75848	53404	21398	1046	70.409	28.212	1.379
NC	37097	Iredell	75762	25952	49071	739	34.255	64.770	0.975
NY	36007	Broome	75244	38315	34878	2051	50.921	46.353	2.726
IA	19103	Johnson	74928	50090	23556	1282	66.851	31.438	1.711
KS	20177	Shawnee	74844	35959	37226	1659	48.045	49.738	2.217
TX	48061	Cameron	74802	49159	24955	688	65.719	33.361	0.920
TX	48309	McLennan	74493	25688	47885	920	34.484	64.281	1.235
WV	54039	Kanawha	74451	32190	41037	1224	43.236	55.119	1.644
OH	39133	Portage	74029	38082	34465	1482	51.442	46.556	2.002
FL	12017	Citrus	73923	28453	44657	813	38.490	60.410	1.100
MI	26147	St. Clair	73740	33845	39076	819	45.898	52.992	1.111
VA	51510	Alexandria	73470	52434	20205	831	71.368	27.501	1.131
CO	08101	Pueblo	73306	40624	31023	1659	55.417	42.320	2.263
ND	38017	Cass	73275	34632	36792	1851	47.263	50.211	2.526
SC	45013	Beaufort	73115	29775	42580	760	40.724	58.237	1.039
CA	06107	Tulare	72832	29191	42186	1455	40.080	57.922	1.998
IL	17113	McLean	72756	31590	39638	1528	43.419	54.481	2.100
MI	26115	Monroe	72682	36310	35593	779	49.957	48.971	1.072
IN	18127	Porter	72487	36950	34197	1340	50.975	47.177	1.849
IN	18163	Vanderburgh	72416	31659	39504	1253	43.718	54.551	1.730
MI	26021	Berrien	72322	33465	38209	648	46.272	52.832	0.896
NY	36111	Ulster	72193	43164	27340	1689	59.790	37.871	2.340
SC	45007	Anderson	71901	22315	48493	1093	31.036	67.444	1.520
VA	51650	Hampton	71713	51733	19193	787	72.139	26.764	1.097
FL	12061	Indian River	71445	27483	43441	521	38.467	60.803	0.729
MN	27139	Scott	71411	29714	40321	1376	41.610	56.463	1.927
GA	13215	Muscogee	70410	42458	27469	483	60.301	39.013	0.686
AR	05143	Washington	70231	28136	39570	2525	40.062	56.343	3.595
MD	24017	Charles	70167	45621	23637	909	65.018	33.687	1.295
CA	06007	Butte	70163	32567	35312	2284	46.416	50.329	3.255
OH	39045	Fairfield	70079	28831	40134	1114	41.141	57.270	1.590
NC	37057	Davidson	69994	20291	48935	768	28.990	69.913	1.097
WI	55073	Marathon	69637	32330	36568	739	46.426	52.512	1.061
MN	27171	Wright	69550	26584	41460	1506	38.223	59.612	2.165
MI	26075	Jackson	69323	32301	36298	724	46.595	52.361	1.044
NC	37035	Catawba	69102	23954	44386	762	34.665	64.233	1.103
CO	08077	Mesa	69033	22448	45087	1498	32.518	65.312	2.170
PA	42027	Centre	68801	33677	33697	1427	48.948	48.977	2.074
DE	10001	Kent	68669	35525	32134	1010	51.734	46.795	1.471
MT	30111	Yellowstone	68561	26275	40421	1865	38.324	58.956	2.720
LA	22073	Ouachita	68437	26629	40927	881	38.910	59.802	1.287
UT	49057	Weber	68143	17569	48938	1636	25.783	71.817	2.401
IN	18039	Elkhart	67768	24376	42348	1044	35.970	62.490	1.541
KY	21117	Kenton	67679	24917	41387	1375	36.816	61.152	2.032
NM	35049	Santa Fe	67624	49668	15145	2811	73.447	22.396	4.157
NC	37001	Alamance	66638	28341	37712	585	42.530	56.592	0.878
IN	18063	Hendricks	66590	21100	44308	1182	31.686	66.539	1.775
IA	19013	Black Hawk	66205	39338	26078	789	59.418	39.390	1.192
NE	31153	Sarpy	66166	24709	40318	1139	37.344	60.935	1.721
ID	16027	Canyon	66090	19866	44369	1855	30.059	67.134	2.807
SC	45003	Aiken	66049	23953	41157	939	36.265	62.313	1.422
AZ	04015	Mohave	65949	18324	46442	1183	27.785	70.421	1.794
NM	35013	Dona Ana	65712	36778	26988	1946	55.968	41.070	2.961
TN	47165	Sumner	65334	18571	45979	784	28.425	70.375	1.200
IL	17161	Rock Island	64880	39081	24888	911	60.236	38.360	1.404
GA	13021	Bibb	64625	38538	25606	481	59.633	39.622	0.744
MS	28033	DeSoto	64026	20979	42399	648	32.766	66.222	1.012
NY	36083	Rensselaer	63332	34713	27240	1379	54.811	43.011	2.177
WI	55117	Sheboygan	63272	28356	34282	634	44.816	54.182	1.002
WI	55063	La Crosse	63212	36632	25711	869	57.951	40.674	1.375
NJ	34019	Hunterdon	62821	25148	36979	694	40.031	58.864	1.105
PA	42055	Franklin	62802	18910	43072	820	30.111	68.584	1.306
HI	15001	Hawaii	62653	46670	14541	1442	74.490	23.209	2.302
WA	53077	Yakima	62449	25945	35381	1123	41.546	56.656	1.798
OH	39023	Clark	62136	30022	31116	998	48.317	50.077	1.606
OH	39173	Wood	61967	31596	28997	1374	50.988	46.794	2.217
NC	37159	Rowan	61803	22529	38622	652	36.453	62.492	1.055
